"team_long_name" "team_api_id" "buildUpPlay_attributes" "chanceCreation_attributes" "defence_attributes" "goals"
"251" "FC Sion" 10179 155 177 146 371
"252" "FC Schalke 04" 10189 143 195 185 426
"253" "FC St. Gallen" 10190 146 157 155 276
"254" "FC Thun" 10191 152 166 145 279
"255" "BSC Young Boys" 10192 172 202 170 529
"256" "Stoke City" 10194 138 195 153 322
"257" "FC Luzern" 10199 165 175 153 421
"258" "Villarreal CF" 10205 126 161 165 364
"259" "SC Beira Mar" 10211 NA 165 155 93
"260" "CS Marítimo" 10212 182 186 144 316
"261" "CD Nacional" 10214 167 165 156 332
"262" "Académica de Coimbra" 10215 150 172 151 240
"263" "ADO Den Haag" 10217 162 181 173 366
"264" "Excelsior" 10218 163 162 106 154
"265" "RKC Waalwijk" 10219 142 159 150 153
"266" "SC Heerenveen" 10228 150 171 183 470
"267" "AZ" 10229 154 185 184 492
"268" "Genoa" 10233 184 182 154 392
"269" "Feyenoord" 10235 154 165 160 489
"270" "Vitória Setúbal" 10238 149 165 140 238
"271" "ES Troyes AC" 10242 148 150 140 71
"272" "FC Zürich" 10243 157 165 163 468
"273" "Montpellier Hérault SC" 10249 162 160 210 344
"274" "Hibernian" 10251 148 200 200 259
"275" "Aston Villa" 10252 170 185 145 335
"276" "Manchester United" 10260 134 200 163 582
"277" "Newcastle United" 10261 152 195 161 324
"278" "SC Braga" 10264 145 166 150 398
"279" "Wisła Kraków" 10265 135 183 205 332
"280" "Valencia CF" 10267 116 185 175 484
"281" "Elche CF" 10268 171 165 158 65
"282" "VfB Stuttgart" 10269 168 200 175 415
"283" "Hércules Club de Fútbol" 10278 154 178 160 36
"284" "Real Valladolid" 10281 153 172 161 170
"285" "AC Arles-Avignon" 108893 156 141 158 21
"286" "FC Arouca" 158085 174 160 113 101
"287" "Carpi" 208931 190 160 141 37
"288" "Royal Excel Mouscron" 274581 150 150 140 71
