"player_name" "player_api_id" "overall_rating" "gk_attributes" "num_appearances" "num_leagues"
"372" "Evandro Goebel" 19264 76 141 59 1
"373" "Dinei" 19277 72 92 1 1
"374" "Edivaldo Rojas" 19281 65 119 65 1
"375" "Rafael Marques" 19285 73 126 27 1
"376" "Thiago Xavier" 19297 66 134 28 1
"377" "Edson Sitta" 19309 69 49 16 1
"378" "Dyego Rocha Coelho" 19310 72 106 3 1
"379" "Miranda" 19327 85 139 146 2
"380" "Artur" 19344 82 408 112 2
"381" "Jonathan" 19352 78 151 51 1
"382" "Fabionn Lopes Patrick" 19353 64 134 33 1
"383" "Rodrigo Arroz" 19370 67 56 13 1
"384" "Bruno China" 19372 71 137 100 2
"385" "Vinicius Pacheco" 19380 71 118 5 1
"386" "Diego" 19393 73 379 81 1
"387" "Galatto" 19403 75 383 5 2
"388" "Claudio Pitbull" 19427 73 136 41 1
"389" "Marcelo Boeck" 19434 74 368 36 1
"390" "Renan" 19435 78 389 54 1
"391" "Edinho" 19436 74 158 13 1
"392" "Joao Guilherme" 19439 71 135 80 1
"393" "Pedro Silva" 19446 72 143 33 1
"394" "Rivaldo" 19488 70 54 6 1
"395" "Halisson" 19489 70 57 67 1
"396" "Josue" 19511 82 151 128 1
"397" "Renan Silva" 19512 69 148 13 1
"398" "Cassio" 19515 74 365 193 1
"399" "Claudemir" 19524 70 53 93 1
"400" "Silva" 19531 70 45 23 1
"401" "Neymar" 19533 90 141 82 1
"402" "Branko Jelic" 19674 62 110 8 1
"403" "Zhi Zheng" 19696 73 154 9 1
"404" "Junmin Hao" 19908 68 141 7 1
"405" "Takafumi Akahoshi" 20118 69 50 78 1
"406" "Hajime Hosogai" 20125 76 68 89 1
"407" "Koki Mizuno" 20174 78 133 2 1
"408" "Kisho Yano" 20196 68 64 2 1
"409" "Takahito Soma" 20241 66 145 13 1
"410" "Hulk" 20276 85 143 82 1
"411" "Carciano" 20323 67 134 4 1
"412" "Marcelo Silva" 20325 71 45 22 1
"413" "Rafael Dias" 20329 65 62 11 1
"414" "Rafael Santos" 20342 70 47 2 1
"415" "Felipe Santana" 20396 77 126 80 1
"416" "Dudu" 20399 61 125 3 1
"417" "Michel Bastos" 20401 84 155 126 3
"418" "Ederson Tormena" 20445 66 135 54 1
"419" "Fagner" 20446 74 42 24 1
"420" "Marcos Ceara" 20482 74 139 94 1
"421" "Mike Havenaar" 20645 72 47 85 2
"422" "Shinji Okazaki" 20694 78 42 131 2
"423" "Robert Cullen" 20720 67 48 41 1
"424" "Eiji Kawashima" 20747 74 367 110 2
"425" "Akihiro Ienaga" 20771 74 57 4 1
"426" "Michihirio Yasuda" 20790 70 45 38 1
"427" "Erik Friberg" 21123 66 135 5 1
"428" "Amoreirinha" 21161 69 138 32 1
"429" "Thiago Neves" 21164 80 104 2 1
"430" "Daniel Dunst" 21213 55 51 9 1
"431" "Sebastian Leto" 21410 78 152 13 1
"432" "Oscar Trejo" 21414 77 153 99 2
"433" "Juca" 21445 74 165 15 1
"434" "Hernanes" 21446 85 148 144 1
"435" "Marc Bertran" 21450 74 145 96 1
"436" "Andre Leone" 21458 73 113 22 1
"437" "Mark Burchill" 21528 60 111 9 1
"438" "Nikola Kalinic" 21613 78 118 54 2
"439" "David Meul" 21645 62 321 34 1
"440" "Alexandre Di Gregorio" 21657 59 116 8 1
"441" "Ibrahima Conte" 21726 73 54 49 1
"442" "Bart Goossens" 21744 57 132 1 1
"443" "Mohammed Rabiu" 21751 71 130 36 1
"444" "Tim Matthijs" 21753 68 60 76 1
"445" "Jop van der Linden" 21765 72 53 76 1
"446" "Gregory Lorenzi" 21776 66 135 43 2
"447" "Esteban Solari" 21785 71 132 2 1
"448" "Michael Klukowski" 21812 69 142 30 1
"449" "Rachid Farssi" 21834 66 136 93 1
"450" "Chris McCann" 21849 73 150 7 1
"451" "Dudley Campbell" 21853 76 134 32 1
"452" "Stephen Quinn" 21864 71 143 21 1
"453" "Junio Cesar Arcanjo Juninho" 21894 68 58 2 1
"454" "Chris Robertson" 21914 63 105 21 1
"455" "Raffaele Schiavi" 21982 69 141 10 1
"456" "Lee Tomlin" 22045 70 57 3 1
"457" "Giuseppe Aquaro" 22096 65 80 38 1
"458" "Luigi Beghetto" 22103 64 159 4 1
"459" "Paulo Lopes" 22125 74 367 34 1
"460" "Hugo Carreira" 22126 69 125 2 1
"461" "Tony" 22128 68 46 57 1
"462" "Hugo Valdir" 22130 61 122 1 1
"463" "Hugo Morais" 22131 72 137 75 1
"464" "Rui Borges" 22134 65 139 2 1
"465" "Tiago Rosa" 22136 57 51 2 1
"466" "Anselmo" 22139 69 134 17 1
"467" "Jose Mari" 22234 79 126 3 1
"468" "Fabrizio Cacciatore" 22283 72 143 73 1
"469" "Simone Farelli" 22305 59 297 1 1
"470" "Elkin Soto" 22313 76 144 125 1
"471" "Leandro Castan" 22337 82 143 72 1
"472" "Benjamin Fischer" 22343 46 111 4 1
"473" "Lorenzo Del Prete" 22355 70 149 4 1
"474" "Drissa Diarra" 22382 64 139 56 1
"475" "Stefano Ferrario" 22386 66 130 29 1
"476" "Peterson Pecanha" 22418 74 365 56 1
"477" "Tiago Valente" 22421 70 49 80 2
"478" "Ricardo Pedrinha,27" 22427 70 143 27 1
"479" "Cristiano" 22428 74 142 45 1
"480" "Ronny Carlos da Silva" 22434 68 44 14 1
"481" "Garry Wood" 22444 55 100 11 1
"482" "Rodrigues Saulo" 22514 68 127 27 1
"483" "Carlitos" 22519 66 135 69 1
"484" "Elson" 22535 73 144 17 1
"485" "Radamel Falcao" 22543 90 144 147 4
"486" "Wason Renteria" 22544 76 70 21 1
"487" "Marcinho" 22545 75 113 25 1
"488" "Lorenzo Bucchi" 22700 58 288 12 1
"489" "Kostadin Hazurov" 22706 65 38 28 1
"490" "Stanislav Manolev" 22707 73 146 79 2
"491" "Ivan Ivanov" 22714 72 104 11 1
"492" "Janicio Martins" 22732 69 134 13 1
"493" "Martin Skrtel" 22764 82 132 220 1
"494" "Stilianos Malezas" 22785 75 138 21 1
"495" "Aleksander Seliga" 22822 67 338 32 1
"496" "Dusan Svento" 22824 75 136 14 1
"497" "Marcel Gecov" 22831 65 121 21 2
"498" "Lukas Jarolim" 22832 71 152 15 1
"499" "Marek Suchy" 22834 78 133 79 1
"500" "Dean Hammond" 22894 69 128 9 1
"501" "Neil Alexander" 22924 73 370 52 1
"502" "Glenn Loovens" 22928 73 128 78 2
"503" "Joe Ledley" 22929 76 138 151 2
"504" "Isaac Osbourne" 22952 66 127 67 1
"505" "Luke Varney" 22959 73 125 24 1
"506" "Ben Williams" 22962 66 323 74 1
"507" "Billy Jones" 22964 72 139 99 1
"508" "Michael Higdon" 22969 71 126 175 2
"509" "Ross Turnbull" 22978 74 376 28 1
"510" "Philip Chidi Onyemah" 22982 64 123 22 1
"511" "Ivan Cordoba" 22984 83 128 57 1
"512" "Mark Hudson" 22988 72 117 2 1
"513" "Ben Watson" 22991 73 144 85 1
"514" "Tom Soares" 22994 68 151 14 2
"515" "Julian Speroni" 22998 77 379 75 1
"516" "Andrew Davies" 23007 69 120 31 1
"517" "Chris Turner" 23016 60 133 3 1
"518" "Giles Barnes" 23019 74 140 1 1
"519" "Boaz Myhill" 23021 77 384 116 1
"520" "Andrew Dawson" 23022 72 129 60 1
"521" "Ian Ashbee" 23023 73 132 31 1
"522" "Nick Barmby" 23025 67 134 19 1
"523" "Matt Duke" 23027 64 323 21 1
"524" "Damien Delaney" 23030 75 139 97 1
"525" "Craig Fagan" 23034 72 151 35 1
"526" "Ryan France" 23036 60 112 1 1
"527" "Jimmy Juan" 23051 61 134 11 1
"528" "Owen Garvan" 23054 68 149 1 1
"529" "Stephen Crainey" 23065 73 127 31 1
"530" "Frazer Richardson" 23069 69 139 2 1
"531" "Shaun Derry" 23070 70 137 38 1
"532" "Richard Cresswell" 23072 70 125 12 1
"533" "Matthew Kilgallon" 23073 74 142 21 1
"534" "Robbie Blake" 23074 76 146 20 1
"535" "Franco Sosa" 23075 72 143 40 1
"536" "Rab Douglas" 23080 62 310 30 1
"537" "Alan Maybury" 23081 66 143 76 1
"538" "Stephen Hughes" 23083 68 146 62 1
"539" "Richard Stearman" 23091 74 120 67 1
"540" "Tommy Wright" 23093 61 117 4 1
"541" "Kevin Foley" 23099 70 144 64 1
"542" "Rowan Vine" 23104 70 51 32 1
"543" "Dean Brill" 23114 66 328 61 1
"544" "Leon Barnett" 23115 71 118 29 1
"545" "John Sutton" 23117 71 118 180 1
"546" "Jody Morris" 23127 67 133 84 1
"547" "Adam Drury" 23133 72 125 12 1
"548" "Jason Shackell" 23134 75 131 38 1
"549" "Dean Ashton" 23139 82 111 4 1
"550" "Paul Gallacher" 23141 68 336 116 1
